fiscal_year,year,month,month_numeric,volume_in_mn,avg_daily_volume_in_mn,value_in_cr,avg_daily_value_in_cr,updated_on,released_on,data_source,data_url
2023-24,2024,March,3,105.96,3.4179,27303.46,880.7568,2026-04-03,2024-04-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2024-25,2024,June,6,97.38,3.246,24426.21,814.207,2026-04-03,2024-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2024-25,2024,July,7,94.43,3.0461,23497.57,757.9861,2026-04-03,2024-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2024-25,2024,August,8,97.30,3.1386,23935.45,772.1113,2026-04-03,2024-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2024-25,2024,September,9,97.51,3.2504,23389.19,779.6397,2026-04-03,2024-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2024-25,2024,October,10,122.73,3.959,31480.24,1015.4916,2026-04-03,2024-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2024-25,2024,November,11,89.83,2.9944,22981.31,766.0437,2026-04-03,2024-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2024-25,2024,December,12,91.09,2.9383,23194.53,748.2106,2026-04-03,2025-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2024-25,2025,January,1,91.51,2.9518,23246.11,749.8745,2026-04-03,2025-02-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2024-25,2025,February,2,92.16,3.2916,23604.71,843.0254,2026-04-03,2025-03-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2024-25,2025,March,3,110.23,3.5558,29560.56,953.5665,2026-04-03,2025-04-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2025-26,2025,June,6,94.46,3.1487,25646.12,854.8707,2026-04-03,2025-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2025-26,2025,July,7,99.70,3.216,25574.32,824.9781,2026-04-03,2025-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2025-26,2025,August,8,124.55,4.0177,31157.18,1005.0703,2026-04-03,2025-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2025-26,2025,September,9,103.50,3.4499,26355.58,878.5193,2026-04-03,2025-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2025-26,2025,October,10,108.43,3.4979,29379.36,947.7213,2026-04-03,2025-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2025-26,2025,November,11,104.90,3.4965,27357.69,911.923,2026-04-03,2025-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2025-26,2025,December,12,92.60,2.9872,24082.50,776.8548,2026-04-03,2026-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2025-26,2026,January,1,95.69,3.0868,24737.44,797.9819,2026-04-03,2026-02-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2025-26,2026,February,2,86.73,3.0975,24595.40,878.4071,2026-04-03,2026-03-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2025-26,2026,March,3,107.55,3.4694,30528.57,984.7926,2026-04-03,2026-04-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
