fiscal_year,year,month,month_numeric,day,date_stamp,volume_in_mn,value_in_cr,released_on,updated_on,data_source,data_url
2021-22,2021,August,8,25,2021-08-25,7.52,2845.05,2021-09-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,August,8,26,2021-08-26,2.81,2846.44,2021-09-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,August,8,27,2021-08-27,4.17,5385.33,2021-09-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,August,8,28,2021-08-28,1.61,1209.59,2021-09-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,August,8,29,2021-08-29,0.81,275.48,2021-09-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,August,8,30,2021-08-30,1.4,2956.09,2021-09-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,August,8,31,2021-08-31,2.25,4006.4,2021-09-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,September,9,1,2021-09-01,4.6,4380.52,2021-10-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,September,9,2,2021-09-02,12.85,8073.29,2021-10-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,September,9,3,2021-09-03,5.8,4799.34,2021-10-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,September,9,4,2021-09-04,1.62,1795.1,2021-10-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,September,9,5,2021-09-05,0.12,256.43,2021-10-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,September,9,6,2021-09-06,3.42,2135.69,2021-10-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,September,9,7,2021-09-07,7.42,2904.24,2021-10-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,September,9,8,2021-09-08,4.98,1823.72,2021-10-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,September,9,9,2021-09-09,3.24,2322.28,2021-10-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,September,9,10,2021-09-10,1.43,2151.38,2021-10-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,September,9,11,2021-09-11,3.93,2259.2,2021-10-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,September,9,12,2021-09-12,1.21,348.21,2021-10-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,September,9,13,2021-09-13,1.82,1363.7,2021-10-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,September,9,14,2021-09-14,6.29,2640.67,2021-10-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,September,9,15,2021-09-15,5.2,1966.54,2021-10-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,September,9,16,2021-09-16,3.11,1937.28,2021-10-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,September,9,17,2021-09-17,3.23,3902.47,2021-10-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,September,9,18,2021-09-18,4.95,2994.2,2021-10-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,September,9,19,2021-09-19,0.12,205.97,2021-10-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,September,9,20,2021-09-20,1.82,1734.16,2021-10-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,September,9,21,2021-09-21,2.63,2467.12,2021-10-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,September,9,22,2021-09-22,3.06,2520.6,2021-10-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,September,9,23,2021-09-23,5.26,2888.19,2021-10-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,September,9,24,2021-09-24,2.32,5300.13,2021-10-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,September,9,25,2021-09-25,0.46,470.07,2021-10-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,September,9,26,2021-09-26,2.14,305.68,2021-10-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,September,9,27,2021-09-27,7.49,4243.24,2021-10-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,September,9,28,2021-09-28,4.44,2398.8,2021-10-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
