fiscal_year,year,month,month_numeric,volume_in_mn,avg_daily_volume_in_mn,value_in_cr,avg_daily_value_in_cr,updated_on,released_on,data_source,data_url
2024-25,2024,July,7,1.92,0.0621,575.03,18.5494,2026-04-03,2024-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2024-25,2024,August,8,1.91,0.0615,575.89,18.5771,2026-04-03,2024-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2024-25,2024,September,9,1.88,0.0627,567.85,18.9283,2026-04-03,2024-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2024-25,2024,October,10,2.45,0.0792,772.67,24.9248,2026-04-03,2024-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2024-25,2024,November,11,1.93,0.0643,628.57,20.9523,2026-04-03,2024-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2024-25,2024,December,12,1.72,0.0554,547.09,17.6481,2026-04-03,2025-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2024-25,2025,January,1,1.59,0.0514,485.58,15.6639,2026-04-03,2025-02-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2024-25,2025,February,2,1.49,0.0533,473.84,16.9229,2026-04-03,2025-03-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2024-25,2025,March,3,1.96,0.0632,610.79,19.7029,2026-04-03,2025-04-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2025-26,2025,June,6,1.83,0.0609,614.61,20.487,2026-04-03,2025-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2025-26,2025,July,7,1.99,0.0644,619.12,19.9716,2026-04-03,2025-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2025-26,2025,August,8,2.54,0.0819,718.05,23.1629,2026-04-03,2025-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2025-26,2025,September,9,1.89,0.0629,590.54,19.6847,2026-04-03,2025-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2025-26,2025,October,10,2.06,0.0664,661.43,21.3365,2026-04-03,2025-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2025-26,2025,November,11,1.93,0.0643,608.79,20.293,2026-04-03,2025-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2025-26,2025,December,12,1.74,0.0561,600.41,19.3681,2026-04-03,2026-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2025-26,2026,January,1,1.80,0.0581,647.95,20.9016,2026-04-03,2026-02-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2025-26,2026,February,2,1.67,0.0596,636.22,22.7221,2026-04-03,2026-03-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2025-26,2026,March,3,2.10,0.0677,800.16,25.8116,2026-04-03,2026-04-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
